arrival_date,lead_time,stay_length,total_guests,avg_daily_rate,is_canceled,has_special_requests,has_parking,is_OTA,previous_cancellations,cancel_risk_score,risk_level,market_segment_Aviation,market_segment_Complementary,market_segment_Corporate,market_segment_Direct,market_segment_Groups,market_segment_Offline_TA_TO,market_segment_Online_TA,market_segment_Undefined,distribution_channel_Corporate,distribution_channel_Direct,distribution_channel_GDS,distribution_channel_TA_TO,distribution_channel_Undefined
2016-07-01,342,0,2,0.0,False,False,False,False,0,-0.014382632293080067,Very Low,0,0,False,True,0,False,False,0,False,True,0,False,0
2016-07-01,737,0,2,0.0,False,False,False,False,0,0.2,Low,0,0,False,True,0,False,False,0,False,True,0,False,0
2016-07-01,7,1,1,75.0,False,False,False,False,0,-0.1962008141112619,Very Low,0,0,False,True,0,False,False,0,False,True,0,False,0
2016-07-01,13,1,1,75.0,False,False,False,False,0,-0.19294436906377205,Very Low,0,0,True,False,0,False,False,0,True,False,0,False,0
2016-07-01,14,2,2,98.0,False,True,False,True,0,-0.3924016282225237,Very Low,0,0,False,False,0,False,True,0,False,False,0,True,0
2016-07-01,14,2,2,98.0,False,True,False,True,0,-0.3924016282225237,Very Low,0,0,False,False,0,False,True,0,False,False,0,True,0
2016-07-01,0,2,2,107.0,False,False,False,False,0,-0.4,Very Low,0,0,False,True,0,False,False,0,False,True,0,False,0
2016-07-01,9,2,2,103.0,False,True,False,False,0,-0.5951153324287652,Very Low,0,0,False,True,0,False,False,0,False,True,0,False,0
2016-07-01,85,3,2,82.0,True,True,False,True,0,-0.4538670284938942,Very Low,0,0,False,False,0,False,True,0,False,False,0,True,0
2016-07-01,75,3,2,105.5,True,False,False,True,0,-0.25929443690637727,Very Low,0,0,False,False,0,True,False,0,False,False,0,True,0
2016-07-01,23,4,2,123.0,True,False,False,True,0,-0.3875169606512891,Very Low,0,0,False,False,0,False,True,0,False,False,0,True,0
2016-07-01,35,4,2,145.0,False,False,False,True,0,-0.3810040705563093,Very Low,0,0,False,False,0,False,True,0,False,False,0,True,0
2016-07-01,68,4,2,97.0,False,True,False,True,0,-0.5630936227951153,Very Low,0,0,False,False,0,False,True,0,False,False,0,True,0
2016-07-01,18,4,3,154.77,False,True,False,True,0,-0.6902306648575307,Very Low,0,0,False,False,0,False,True,0,False,False,0,True,0
2016-07-01,37,4,2,94.71,False,False,False,True,0,-0.37991858887381275,Very Low,0,0,False,False,0,False,True,0,False,False,0,True,0
